date,n1,n2,n3,n4,n5,n6
2020-10-28,45,3,58,26,20,49
2020-10-24,60,39,3,46,47,27
2020-10-22,60,9,35,43,5,3
2020-10-20,13,42,17,28,53,29
2020-10-17,33,60,11,29,9,30
2020-10-14,26,9,58,38,60,13
2020-10-10,38,53,46,55,33,16
2020-10-07,28,58,19,3,57,33
2020-10-03,57,55,38,7,16,22
2020-09-30,12,54,57,21,29,56
2020-09-26,17,50,48,20,3,7
2020-09-23,44,43,25,18,27,22
2020-09-19,18,36,47,52,35,17
2020-09-17,37,39,21,9,54,43
2020-09-15,3,40,19,60,2,44
2020-09-12,13,21,49,41,17,31
2020-09-09,20,22,41,59,35,40
2020-09-05,29,6,36,59,21,1
2020-09-02,28,6,41,26,35,13
2020-08-29,9,43,20,41,33,15
2020-08-26,1,48,42,10,2,37
2020-08-22,18,57,6,33,42,16
2020-08-19,37,31,26,12,36,49
2020-08-15,60,36,5,57,44,18
2020-08-13,6,34,37,38,45,9
2020-08-11,35,39,2,26,56,40
2020-08-08,29,4,2,41,6,56
2020-08-05,42,43,41,9,21,30
2020-08-01,12,10,33,7,42,1
2020-07-29,46,36,12,10,4,14
2020-07-25,24,4,37,43,59,60
2020-07-22,30,52,12,27,36,45
2020-07-18,35,40,14,55,50,27
2020-07-16,50,28,58,29,59,31
2020-07-14,28,12,20,5,27,14
2020-07-11,34,17,37,43,8,45
2020-07-08,23,10,53,60,22,37
2020-07-04,49,27,5,18,57,15
2020-07-01,25,50,2,53,4,36
2020-06-27,8,55,40,11,33,17
2020-06-24,58,15,20,16,38,40
2020-06-20,5,41,11,49,24,2
2020-06-17,6,10,41,52,27,28
2020-06-13,41,16,48,14,38,39
2020-06-10,55,14,23,29,11,1
2020-06-06,4,30,52,23,13,28
2020-06-03,48,49,53,20,32,33
2020-05-30,23,37,59,10,58,31
2020-05-27,50,20,46,23,14,39
2020-05-23,29,19,8,2,37,3
2020-05-20,43,49,57,33,9,24
2020-05-16,7,30,46,23,8,14
2020-05-13,23,26,51,27,29,7
2020-05-09,37,12,14,34,35,47
2020-05-07,54,56,58,20,27,41
2020-05-05,26,7,1,23,14,5
2020-05-02,18,30,21,31,34,51
2020-04-29,9,37,30,10,54,47
2020-04-25,20,15,57,49,39,41
2020-04-22,47,4,24,44,56,9
2020-04-18,32,39,55,33,52,31
2020-04-15,46,50,1,17,37,30
2020-04-11,58,22,26,15,54,5
2020-04-08,39,52,27,57,58,33
2020-04-04,4,49,9,31,47,53
2020-04-01,20,9,42,29,30,15
2020-03-28,42,53,47,1,44,48
2020-03-25,9,33,46,24,27,5
2020-03-21,33,11,14,34,15,18
2020-03-18,11,5,42,3,34,37
2020-03-14,14,38,28,18,35,54
2020-03-12,24,42,18,5,25,9
2020-03-10,56,18,26,13,1,40
2020-03-07,25,9,7,10,58,19
2020-03-04,27,39,7,31,46,45
2020-02-29,57,36,11,58,55,45
2020-02-27,60,27,28,20,53,11
2020-02-22,7,53,43,20,45,38
2020-02-19,14,55,35,30,18,57
2020-02-15,47,29,42,4,27,21
2020-02-12,45,35,6,41,4,32
2020-02-08,31,34,38,47,7,8
2020-02-05,4,13,53,40,25,57
2020-02-01,39,17,56,60,26,7
2020-01-29,6,41,40,29,58,11
2020-01-25,19,45,39,9,23,32
2020-01-23,9,6,27,32,12,57
2020-01-21,2,7,38,30,4,16
2020-01-18,1,37,47,44,46,32
2020-01-15,23,50,58,32,52,16
2020-01-11,49,26,2,56,40,42
2020-01-08,14,48,30,29,59,13
2020-01-04,23,34,45,57,5,56
2019-12-31,38,58,35,3,40,57
2019-12-21,57,59,45,8,28,36
2019-12-19,16,6,38,22,52,48
2019-12-17,16,32,36,30,14,10
2019-12-14,24,42,48,10,43,49
2019-12-11,21,23,43,1,19,33
2019-12-07,18,30,4,10,34,47
2019-12-04,7,5,10,60,32,46
2019-11-30,51,58,53,52,26,23
2019-11-27,27,44,36,54,41,40
2019-11-23,11,33,34,25,24,17
2019-11-20,32,22,47,28,33,25
2019-11-16,30,45,16,49,25,40
2019-11-13,43,11,6,55,53,10
2019-11-09,42,38,45,6,27,57
2019-11-06,21,42,12,57,37,28
2019-11-04,32,56,29,28,1,35
2019-10-30,34,46,57,50,17,49
2019-10-26,43,60,37,38,29,11
2019-10-24,13,49,3,41,53,23
2019-10-22,28,55,36,43,11,15
2019-10-19,38,23,30,44,35,15
2019-10-16,56,11,34,44,36,1
2019-10-14,29,11,3,35,44,57
2019-10-09,56,28,27,1,41,25
2019-10-05,24,32,38,53,46,14
2019-10-02,16,8,20,21,34,31
2019-09-28,8,7,42,27,29,22
2019-09-26,57,53,7,59,16,37
2019-09-24,33,46,26,4,53,8
2019-09-21,53,35,25,9,5,20
